"","Yr","Area","River","Escapement","Expl","R","S","Survival","EO","Popn","Population","WildLice"
"785",1979,8,"BELLA COOLA RIVER",850000,0.287821416480035,1193520.86635188,225000,1.66856252674956,"O","49","BELLA COOLA RIVER O",0
"786",1980,8,"BELLA COOLA RIVER",1000000,0.3349560817946,1503660.09315365,2100000,-0.334035146636526,"E","50","BELLA COOLA RIVER E",0
"787",1981,8,"BELLA COOLA RIVER",375000,0.596021928035553,928268.205688657,850000,0.0880843562958289,"O","49","BELLA COOLA RIVER O",0
"788",1982,8,"BELLA COOLA RIVER",150000,0.110414737211175,168617.901256316,1000000,-1.78012006315316,"E","50","BELLA COOLA RIVER E",0
"789",1983,8,"BELLA COOLA RIVER",1100000,0.267077252927262,1500840.30601227,375000,1.38685440827238,"O","49","BELLA COOLA RIVER O",0
"790",1984,8,"BELLA COOLA RIVER",650000,0.104388584559714,725761.182577666,150000,1.57658571699521,"E","50","BELLA COOLA RIVER E",0
"791",1985,8,"BELLA COOLA RIVER",2300000,0.222417128159443,2957884.08321784,1100000,0.9891639961633,"O","49","BELLA COOLA RIVER O",0
"792",1986,8,"BELLA COOLA RIVER",2886000,0.407663991309245,4872234.60612997,650000,2.01433559930825,"E","50","BELLA COOLA RIVER E",0
"793",1987,8,"BELLA COOLA RIVER",343000,0.408814905160303,580190.540989546,2300000,-1.37730783337982,"O","49","BELLA COOLA RIVER O",0
"794",1988,8,"BELLA COOLA RIVER",1700000,0.524452104983154,3574823.94058285,2886000,0.214044467192186,"E","50","BELLA COOLA RIVER E",0
"795",1989,8,"BELLA COOLA RIVER",400000,0.166363476207555,479825.425810626,343000,0.335691894354621,"O","49","BELLA COOLA RIVER O",0
"796",1990,8,"BELLA COOLA RIVER",1800000,0.467321553327181,3379149.29962539,1700000,0.686995740253031,"E","50","BELLA COOLA RIVER E",0
"797",1991,8,"BELLA COOLA RIVER",2230000,0.0307472102050955,2300741.37880157,400000,1.74952214147871,"O","49","BELLA COOLA RIVER O",0
"798",1992,8,"BELLA COOLA RIVER",3100000,0.280494013997804,4308511.75710794,1800000,0.872805879608817,"E","50","BELLA COOLA RIVER E",0
"799",1993,8,"BELLA COOLA RIVER",1100000,0.12687248199474,1259838.88643557,2230000,-0.571017740592717,"O","49","BELLA COOLA RIVER O",0
"800",1994,8,"BELLA COOLA RIVER",300000,0.503741012398542,604523.056499136,3100000,-1.63471757970798,"E","50","BELLA COOLA RIVER E",0
"801",1995,8,"BELLA COOLA RIVER",500000,0.167958517637094,600931.576848855,1100000,-0.604584379569705,"O","49","BELLA COOLA RIVER O",0
"802",1996,8,"BELLA COOLA RIVER",1200000,0.12492632193871,1371313.10206768,300000,1.51974155379071,"E","50","BELLA COOLA RIVER E",0
"803",1997,8,"BELLA COOLA RIVER",1300000,0.138189470921859,1508452.21326152,500000,1.10423128135995,"O","49","BELLA COOLA RIVER O",0
"804",1998,8,"BELLA COOLA RIVER",500000,0.312289966232996,727050.610649372,1200000,-0.501080744916844,"E","50","BELLA COOLA RIVER E",0
"805",1999,8,"BELLA COOLA RIVER",800000,0.0693161516946757,859582.984551321,1300000,-0.413672173489425,"O","49","BELLA COOLA RIVER O",0
"806",2000,8,"BELLA COOLA RIVER",1300000,0.025568868006677,1334111.72664474,500000,0.981412877653283,"E","50","BELLA COOLA RIVER E",0
"807",2001,8,"BELLA COOLA RIVER",1900000,0.165545320044542,2276936.11844974,800000,1.04597428286381,"O","49","BELLA COOLA RIVER O",0
"808",2002,8,"BELLA COOLA RIVER",1540000,0.278522991294108,2134510.15266902,1300000,0.495872919199488,"E","50","BELLA COOLA RIVER E",0
"809",2003,8,"BELLA COOLA RIVER",700000,0.295154104947603,993124.887175463,1900000,-0.648752741469133,"O","49","BELLA COOLA RIVER O",0
"810",2004,8,"BELLA COOLA RIVER",600000,0.21103735826919,760492.282224837,1540000,-0.705571732050634,"E","50","BELLA COOLA RIVER E",0
"811",2005,8,"BELLA COOLA RIVER",700000,0.275157356251141,965726.845732511,700000,0.321800690789748,"O","49","BELLA COOLA RIVER O",0
"812",2006,8,"BELLA COOLA RIVER",230000,0.114178554668696,259646.005650696,600000,-0.837610468634763,"E","50","BELLA COOLA RIVER E",0
"813",2007,8,"BELLA COOLA RIVER",535000,0.150445504181651,629741.82660837,700000,-0.105770398682731,"O","49","BELLA COOLA RIVER O",0
"814",2008,8,"BELLA COOLA RIVER",313000,0.00902167318549602,315849.490882548,230000,0.317186496523896,"E","50","BELLA COOLA RIVER E",0
"815",2009,8,"BELLA COOLA RIVER",746500,0.0601028825358313,794235.864893434,535000,0.395113729297564,"O","49","BELLA COOLA RIVER O",0
"816",2010,8,"BELLA COOLA RIVER",136135,0.00398432630640037,136679.576030325,313000,-0.82856386521238,"E","50","BELLA COOLA RIVER E",0
"2043",1962,8,"CASCADE RIVER",1500,0.67389853140589,4599.79529214268,750,1.81369387324849,"E","62","CASCADE RIVER E",0
"2045",1964,8,"CASCADE RIVER",1500,0.708799368354511,5151.08772781138,1500,1.2337427935497,"E","62","CASCADE RIVER E",0
"2047",1966,8,"CASCADE RIVER",3500,0.599086152714009,8730.05515697062,1500,1.76130657981853,"E","62","CASCADE RIVER E",0
"2049",1968,8,"CASCADE RIVER",3500,0.628180647192824,9413.17328852188,3500,0.989347153389467,"E","62","CASCADE RIVER E",0
"2051",1970,8,"CASCADE RIVER",1500,0.645270860313015,4228.57846221376,3500,0.189102907139313,"E","62","CASCADE RIVER E",0
"2053",1972,8,"CASCADE RIVER",1500,0.346493220590497,2295.30901172192,1500,0.425402371970901,"E","62","CASCADE RIVER E",0
"2055",1974,8,"CASCADE RIVER",1000,0.555636591270693,2250.41031812133,1500,0.405647455091423,"E","62","CASCADE RIVER E",0
"2057",1976,8,"CASCADE RIVER",1000,0.479809726753253,1922.37350721408,1000,0.653560624245538,"E","62","CASCADE RIVER E",0
"2059",1978,8,"CASCADE RIVER",1000,0.327077709051949,1486.05569090473,1000,0.396125422648994,"E","62","CASCADE RIVER E",0
"2061",1980,8,"CASCADE RIVER",1000,0.3349560817946,1503.66009315365,1000,0.407902198092852,"E","62","CASCADE RIVER E",0
"2063",1982,8,"CASCADE RIVER",650,0.110414737211175,730.677572110702,1000,-0.313782994359732,"E","62","CASCADE RIVER E",0
"2065",1984,8,"CASCADE RIVER",2000,0.104388584559714,2233.1113310082,650,1.23417874485418,"E","62","CASCADE RIVER E",0
"2067",1986,8,"CASCADE RIVER",800,0.407663991309245,1350.58478340401,2000,-0.392609509010039,"E","62","CASCADE RIVER E",0
"2069",1988,8,"CASCADE RIVER",2000,0.524452104983154,4205.67522421511,800,1.65957840835585,"E","62","CASCADE RIVER E",0
"2071",1990,8,"CASCADE RIVER",250,0.467321553327181,469.326291614638,2000,-1.44960421526675,"E","62","CASCADE RIVER E",0
"2073",1992,8,"CASCADE RIVER",500,0.280494013997804,694.921251146441,250,1.02233761357978,"E","62","CASCADE RIVER E",0
"2075",1994,8,"CASCADE RIVER",1660,0.503741012398542,3345.02757929522,500,1.90062211903745,"E","62","CASCADE RIVER E",0
"2077",1996,8,"CASCADE RIVER",24000,0.12492632193871,27426.2620413535,1660,2.80468342065031,"E","62","CASCADE RIVER E",0
"2079",1998,8,"CASCADE RIVER",6000,0.312289966232996,8724.60732779246,24000,-1.01190636868284,"E","62","CASCADE RIVER E",0
"2081",2000,8,"CASCADE RIVER",8000,0.025568868006677,8209.91831781378,6000,0.313583505077627,"E","62","CASCADE RIVER E",0
"2083",2002,8,"CASCADE RIVER",6000,0.278522991294108,8316.27332208708,8000,0.0387726947896604,"E","62","CASCADE RIVER E",0
"2085",2004,8,"CASCADE RIVER",11000,0.21103735826919,13942.3585074554,6000,0.84317211171121,"E","62","CASCADE RIVER E",0
"2087",2006,8,"CASCADE RIVER",370,0.114178554668696,417.691400394599,11000,-3.27090766848405,"E","62","CASCADE RIVER E",0
"2298",1962,9,"CHUCKWALLA RIVER",15000,0.771453865052277,65632.2628401967,750,4.47174945909051,"E","66","CHUCKWALLA RIVER E",0
"2299",1963,9,"CHUCKWALLA RIVER",7500,0.552046717819548,16742.8173837528,15000,0.109919152292037,"O","65","CHUCKWALLA RIVER O",0
"2300",1964,9,"CHUCKWALLA RIVER",7500,0.66515628151389,22398.5088742559,15000,0.400944187429455,"E","66","CHUCKWALLA RIVER E",0
"2301",1965,9,"CHUCKWALLA RIVER",15000,0.43555962064745,26574.9945409752,7500,1.26506769826617,"O","65","CHUCKWALLA RIVER O",0
"2302",1966,9,"CHUCKWALLA RIVER",35000,0.582081714573684,83748.4293473705,7500,2.4129143959258,"E","66","CHUCKWALLA RIVER E",0
"2304",1968,9,"CHUCKWALLA RIVER",7500,0.836082207630661,45754.6425655919,35000,0.267945201927229,"E","66","CHUCKWALLA RIVER E",0
"2306",1970,9,"CHUCKWALLA RIVER",15000,0.436664977401788,26627.139088241,7500,1.26702794160252,"E","66","CHUCKWALLA RIVER E",0
"2307",1971,9,"CHUCKWALLA RIVER",5000,0.305150705796012,7195.80496333085,25,5.66237766635116,"O","65","CHUCKWALLA RIVER O",0
"2308",1972,9,"CHUCKWALLA RIVER",75000,0.498823706868818,149647.940311432,15000,2.30023526973013,"E","66","CHUCKWALLA RIVER E",0
"2309",1973,9,"CHUCKWALLA RIVER",5000,0.805745191322908,25739.3885590316,5000,1.63858453494636,"O","65","CHUCKWALLA RIVER O",0
"2310",1974,9,"CHUCKWALLA RIVER",90000,0.526877388379519,190225.530950092,75000,0.930722259691217,"E","66","CHUCKWALLA RIVER E",0
"2311",1975,9,"CHUCKWALLA RIVER",15000,0.160126025979472,17859.8223828679,5000,1.2731157179966,"O","65","CHUCKWALLA RIVER O",0
"2312",1976,9,"CHUCKWALLA RIVER",80000,0.588220805787235,194278.878399728,90000,0.769484974018243,"E","66","CHUCKWALLA RIVER E",0
"2313",1977,9,"CHUCKWALLA RIVER",3000,0.711389709379623,10394.6397529742,15000,-0.3667599361913,"O","65","CHUCKWALLA RIVER O",0
"2314",1978,9,"CHUCKWALLA RIVER",25000,0.57932646441725,59428.5066336964,80000,-0.297252613766903,"E","66","CHUCKWALLA RIVER E",0
"2315",1979,9,"CHUCKWALLA RIVER",12000,0.251263686279405,16027.0041403094,3000,1.6756627696767,"O","65","CHUCKWALLA RIVER O",0
"2316",1980,9,"CHUCKWALLA RIVER",25000,0.0438308778232724,26146.0022292785,25000,0.0448204755341622,"E","66","CHUCKWALLA RIVER E",0
"2317",1981,9,"CHUCKWALLA RIVER",50000,0.367122453845902,79004.2249149816,12000,1.8845946811855,"O","65","CHUCKWALLA RIVER O",0
"2318",1982,9,"CHUCKWALLA RIVER",8000,0.00973577578363025,8078.65194396039,25000,-1.12965080487307,"E","66","CHUCKWALLA RIVER E",0
"2319",1983,9,"CHUCKWALLA RIVER",18000,0.0475667374884862,18898.9619624739,50000,-0.972916007491281,"O","65","CHUCKWALLA RIVER O",0
"2320",1984,9,"CHUCKWALLA RIVER",9000,0.310533093896518,13053.5634420272,8000,0.489619615506319,"E","66","CHUCKWALLA RIVER E",0
"2321",1985,9,"CHUCKWALLA RIVER",50000,0.124492676975214,57109.7450416008,18000,1.15460301043166,"O","65","CHUCKWALLA RIVER O",0
"2322",1986,9,"CHUCKWALLA RIVER",25000,0.277078391627897,34581.8961703133,9000,1.34610573572192,"E","66","CHUCKWALLA RIVER E",0
"2323",1987,9,"CHUCKWALLA RIVER",30000,0.464029811080922,55973.2623571896,50000,0.112851113380353,"O","65","CHUCKWALLA RIVER O",0
"2324",1988,9,"CHUCKWALLA RIVER",60000,0.239037110978588,78847.4718880959,25000,1.14863942573256,"E","66","CHUCKWALLA RIVER E",0
"2325",1989,9,"CHUCKWALLA RIVER",8200,0.0921055007883801,9031.88642195823,30000,-1.20043612996492,"O","65","CHUCKWALLA RIVER O",0
"2326",1990,9,"CHUCKWALLA RIVER",100000,0.278066807238292,138516.972211039,60000,0.836648298937498,"E","66","CHUCKWALLA RIVER E",0
"2327",1991,9,"CHUCKWALLA RIVER",2950,0.195644010200422,3667.53034403965,8200,-0.804615649502659,"O","65","CHUCKWALLA RIVER O",0
"2328",1992,9,"CHUCKWALLA RIVER",75000,0.32840801602291,111674.948166979,100000,0.110422217108311,"E","66","CHUCKWALLA RIVER E",0
"2329",1993,9,"CHUCKWALLA RIVER",4000,0.101966156872461,4454.17511891244,2950,0.412036714933814,"O","65","CHUCKWALLA RIVER O",0
"2330",1994,9,"CHUCKWALLA RIVER",20000,0.131831430750286,23037.0007719634,75000,-1.18038646101008,"E","66","CHUCKWALLA RIVER E",0
"2331",1995,9,"CHUCKWALLA RIVER",4000,0.0212006838017538,4086.63955297435,4000,0.0214286460261998,"O","65","CHUCKWALLA RIVER O",0
"2332",1996,9,"CHUCKWALLA RIVER",150000,0,150000,20000,2.01490302054226,"E","66","CHUCKWALLA RIVER E",0
"2333",1997,9,"CHUCKWALLA RIVER",100000,0,1e+05,4000,3.2188758248682,"O","65","CHUCKWALLA RIVER O",0
"2334",1998,9,"CHUCKWALLA RIVER",110000,0,110000,150000,-0.31015492830384,"E","66","CHUCKWALLA RIVER E",0
"2335",1999,9,"CHUCKWALLA RIVER",65000,0,65000,100000,-0.430782916092454,"O","65","CHUCKWALLA RIVER O",0
"2336",2000,9,"CHUCKWALLA RIVER",140000,0,140000,110000,0.241162056816888,"E","66","CHUCKWALLA RIVER E",0
"2337",2001,9,"CHUCKWALLA RIVER",700000,0,7e+05,65000,2.37669306514777,"O","65","CHUCKWALLA RIVER O",0
"2338",2002,9,"CHUCKWALLA RIVER",400000,0,4e+05,140000,1.04982212449868,"E","66","CHUCKWALLA RIVER E",0
"2339",2003,9,"CHUCKWALLA RIVER",500000,0,5e+05,700000,-0.336472236621213,"O","65","CHUCKWALLA RIVER O",0
"2340",2004,9,"CHUCKWALLA RIVER",100000,0,1e+05,400000,-1.38629436111989,"E","66","CHUCKWALLA RIVER E",0
"2341",2005,9,"CHUCKWALLA RIVER",375000,0,375000,500000,-0.287682072451781,"O","65","CHUCKWALLA RIVER O",0
"2342",2006,9,"CHUCKWALLA RIVER",31000,0,31000,100000,-1.17118298150295,"E","66","CHUCKWALLA RIVER E",0
"2343",2007,9,"CHUCKWALLA RIVER",250000,0,250000,375000,-0.405465108108164,"O","65","CHUCKWALLA RIVER O",0
"2344",2008,9,"CHUCKWALLA RIVER",10000,0,10000,31000,-1.1314021114911,"E","66","CHUCKWALLA RIVER E",0
"2345",2009,9,"CHUCKWALLA RIVER",250000,0,250000,250000,0,"O","65","CHUCKWALLA RIVER O",0
"2346",2010,9,"CHUCKWALLA RIVER",5000,0,5000,10000,-0.693147180559945,"E","66","CHUCKWALLA RIVER E",0
"2502",1962,9,"CLYAK RIVER",75000,0.771453865052277,328161.314200983,3500,4.54074233057746,"E","70","CLYAK RIVER E",0
"2504",1964,9,"CLYAK RIVER",35000,0.66515628151389,104526.374746528,75000,0.331951315942503,"E","70","CLYAK RIVER E",0
"2506",1966,9,"CLYAK RIVER",15000,0.582081714573684,35892.1840060159,35000,0.0251714945914506,"E","70","CLYAK RIVER E",0
"2508",1968,9,"CLYAK RIVER",35000,0.836082207630661,213521.665306096,15000,2.65568810326158,"E","70","CLYAK RIVER E",0
"2510",1970,9,"CLYAK RIVER",75000,0.436664977401788,133135.695441205,35000,1.33602081308947,"E","70","CLYAK RIVER E",0
"2512",1972,9,"CLYAK RIVER",175000,0.498823706868818,349178.527393342,75000,1.53809521768323,"E","70","CLYAK RIVER E",0
"2514",1974,9,"CLYAK RIVER",35000,0.526877388379519,73976.5953694802,175000,-0.861037209536838,"E","70","CLYAK RIVER E",0
"2516",1976,9,"CLYAK RIVER",60000,0.588220805787235,145709.158799796,35000,1.42626451040731,"E","70","CLYAK RIVER E",0
"2518",1978,9,"CLYAK RIVER",3000,0.57932646441725,7131.42079604357,60000,-2.12983407751521,"E","70","CLYAK RIVER E",0
"2520",1980,9,"CLYAK RIVER",40000,0.0438308778232724,41833.6035668456,3000,2.63508764097999,"E","70","CLYAK RIVER E",0
"2522",1982,9,"CLYAK RIVER",10000,0.00973577578363025,10098.3149299505,40000,-1.3765108828046,"E","70","CLYAK RIVER E",0
"2524",1984,9,"CLYAK RIVER",24000,0.310533093896518,34809.5025120725,10000,1.24730531720384,"E","70","CLYAK RIVER E",0
"2526",1986,9,"CLYAK RIVER",60000,0.277078391627897,82996.550808752,24000,1.2407452200641,"E","70","CLYAK RIVER E",0
"2528",1988,9,"CLYAK RIVER",45000,0.239037110978588,59135.6039160719,60000,-0.0145113840731219,"E","70","CLYAK RIVER E",0
"2530",1990,9,"CLYAK RIVER",26000,0.278066807238292,36014.4127748701,45000,-0.22274327657733,"E","70","CLYAK RIVER E",0
"2532",1992,9,"CLYAK RIVER",27000,0.32840801602291,40202.9813401124,26000,0.435844617542939,"E","70","CLYAK RIVER E",0
"2534",1994,9,"CLYAK RIVER",12000,0.131831430750286,13822.200463178,27000,-0.669560837244086,"E","70","CLYAK RIVER E",0
"2536",1996,9,"CLYAK RIVER",18400,0,18400,12000,0.42744401482694,"E","70","CLYAK RIVER E",0
"2538",1998,9,"CLYAK RIVER",3000,0,3000,18400,-1.81373837594683,"E","70","CLYAK RIVER E",0
"2540",2000,9,"CLYAK RIVER",30000,0,30000,3000,2.30258509299405,"E","70","CLYAK RIVER E",0
"2542",2002,9,"CLYAK RIVER",40000,0,40000,30000,0.287682072451781,"E","70","CLYAK RIVER E",0
"2544",2004,9,"CLYAK RIVER",16000,0,16000,40000,-0.916290731874155,"E","70","CLYAK RIVER E",0
"2546",2006,9,"CLYAK RIVER",1400,0,1400,16000,-2.43611648561857,"E","70","CLYAK RIVER E",0
"3624",1962,8,"ELCHO CREEK",35000,0.67389853140589,107328.556816663,3500,3.42313178568259,"E","94","ELCHO CREEK E",0
"3625",1963,8,"ELCHO CREEK",1500,0.639655879103005,4162.68758948,7500,-0.588742099709427,"O","93","ELCHO CREEK O",0
"3626",1964,8,"ELCHO CREEK",3500,0.708799368354511,12019.2046982266,35000,-1.06884229944434,"E","94","ELCHO CREEK E",0
"3627",1965,8,"ELCHO CREEK",3500,0.63153373774975,9498.83438072525,1500,1.8457039862047,"O","93","ELCHO CREEK O",0
"3628",1966,8,"ELCHO CREEK",3500,0.599086152714009,8730.05515697062,3500,0.91400871943133,"E","94","ELCHO CREEK E",0
"3629",1967,8,"ELCHO CREEK",200,0.166015689925135,239.812665039282,3500,-2.68066019126924,"O","93","ELCHO CREEK O",0
"3630",1968,8,"ELCHO CREEK",7500,0.628180647192824,20171.0856182612,3500,1.75148720543636,"E","94","ELCHO CREEK E",0
"3631",1969,8,"ELCHO CREEK",750,0.160013253563577,892.871230625739,200,1.49612500530345,"O","93","ELCHO CREEK O",0
"3632",1970,8,"ELCHO CREEK",3500,0.645270860313015,9866.68307849878,7500,0.27426071547962,"E","94","ELCHO CREEK E",0
"3633",1971,8,"ELCHO CREEK",200,0.0813722079361831,217.716034424208,750,-1.23688158723915,"O","93","ELCHO CREEK O",0
"3634",1972,8,"ELCHO CREEK",3500,0.346493220590497,5355.72102735115,3500,0.425402371970901,"E","94","ELCHO CREEK E",0
"3636",1974,8,"ELCHO CREEK",4500,0.555636591270693,10126.846431546,3500,1.06242699148049,"E","94","ELCHO CREEK E",0
"3638",1976,8,"ELCHO CREEK",5000,0.479809726753253,9611.86753607041,4500,0.758921139903364,"E","94","ELCHO CREEK E",0
"3639",1977,8,"ELCHO CREEK",6000,0.127135689265427,6873.92063830701,1000,1.92773463316271,"O","93","ELCHO CREEK O",0
"3640",1978,8,"ELCHO CREEK",4000,0.327077709051949,5944.22276361892,5000,0.172981871334784,"E","94","ELCHO CREEK E",0
"3641",1979,8,"ELCHO CREEK",35000,0.287821416480035,49144.9768497831,6000,2.10301517173097,"O","93","ELCHO CREEK O",0
"3642",1980,8,"ELCHO CREEK",3500,0.3349560817946,5262.81032603777,4000,0.274370805468329,"E","94","ELCHO CREEK E",0
"3643",1981,8,"ELCHO CREEK",31000,0.596021928035553,76736.838336929,35000,0.785033822805513,"O","93","ELCHO CREEK O",0
"3644",1982,8,"ELCHO CREEK",400,0.110414737211175,449.647736683509,3500,-2.0520537786368,"E","94","ELCHO CREEK E",0
"3645",1983,8,"ELCHO CREEK",15000,0.267077252927262,20466.0041728945,31000,-0.415222027926606,"O","93","ELCHO CREEK O",0
"3646",1984,8,"ELCHO CREEK",7500,0.104388584559714,8374.16749128077,400,3.0414424006182,"E","94","ELCHO CREEK E",0
"3647",1985,8,"ELCHO CREEK",40000,0.222417128159443,51441.462316832,15000,1.23239430604425,"O","93","ELCHO CREEK O",0
"3648",1986,8,"ELCHO CREEK",2000,0.407663991309245,3376.46195851003,7500,-0.798074617118204,"E","94","ELCHO CREEK E",0
"3649",1987,8,"ELCHO CREEK",3000,0.408814905160303,5074.55283664326,40000,-2.06464104407434,"O","93","ELCHO CREEK O",0
"3650",1988,8,"ELCHO CREEK",12000,0.524452104983154,25234.0513452907,2000,2.53504714570975,"E","94","ELCHO CREEK E",0
"3651",1989,8,"ELCHO CREEK",10000,0.166363476207555,11995.6356452656,3000,1.38593059873851,"O","93","ELCHO CREEK O",0
"3652",1990,8,"ELCHO CREEK",1500,0.467321553327181,2815.95774968783,12000,-1.44960421526675,"E","94","ELCHO CREEK E",0
"3653",1991,8,"ELCHO CREEK",4000,0.0307472102050955,4126.89036556336,10000,-0.885060907741627,"O","93","ELCHO CREEK O",0
"3654",1992,8,"ELCHO CREEK",1500,0.280494013997804,2084.76375343932,1500,0.329190433019836,"E","94","ELCHO CREEK E",0
"3655",1993,8,"ELCHO CREEK",10500,0.12687248199474,12025.7348250668,4000,1.10075456111857,"O","93","ELCHO CREEK O",0
"3656",1994,8,"ELCHO CREEK",3500,0.503741012398542,7052.76899248992,1500,1.54795519649626,"E","94","ELCHO CREEK E",0
"3657",1995,8,"ELCHO CREEK",12500,0.167958517637094,15023.2894212214,10500,0.358226367939343,"O","93","ELCHO CREEK O",0
"3658",1996,8,"ELCHO CREEK",28000,0.12492632193871,31997.3057149125,3500,2.21288873435066,"E","94","ELCHO CREEK E",0
"3659",1997,8,"ELCHO CREEK",2000,0.138189470921859,2320.69571271003,12500,-1.68386162741579,"O","93","ELCHO CREEK O",0
"3660",1998,8,"ELCHO CREEK",9000,0.312289966232996,13086.9109916887,28000,-0.760591940401929,"E","94","ELCHO CREEK E",0
"3661",1999,8,"ELCHO CREEK",2500,0.0693161516946757,2686.19682672288,2000,0.294979193606485,"O","93","ELCHO CREEK O",0
"3662",2000,8,"ELCHO CREEK",10000,0.025568868006677,10262.3978972672,9000,0.131261948283673,"E","94","ELCHO CREEK E",0
"3663",2001,8,"ELCHO CREEK",23000,0.165545320044542,27562.9109075495,2500,2.4001803294322,"O","93","ELCHO CREEK O",0
"3664",2002,8,"ELCHO CREEK",15400,0.278522991294108,21345.1015266902,10000,0.758237183666979,"E","94","ELCHO CREEK E",0
"3665",2003,8,"ELCHO CREEK",15000,0.295154104947603,21281.2475823314,23000,-0.0776679261849455,"O","93","ELCHO CREEK O",0
"3666",2004,8,"ELCHO CREEK",11000,0.21103735826919,13942.3585074554,15400,-0.0994359284803182,"E","94","ELCHO CREEK E",0
"3667",2005,8,"ELCHO CREEK",20000,0.275157356251141,27592.1955923575,15000,0.609482763241529,"O","93","ELCHO CREEK O",0
"3668",2006,8,"ELCHO CREEK",400,0.114178554668696,451.558270696863,11000,-3.19294612701434,"E","94","ELCHO CREEK E",0
"3669",2007,8,"ELCHO CREEK",21000,0.150445504181651,24718.8380537865,20000,0.2118333536341,"O","93","ELCHO CREEK O",0
"3670",2008,8,"ELCHO CREEK",1800,0.00902167318549602,1816.38684852583,400,1.51314001168321,"E","94","ELCHO CREEK E",0
"3671",2009,8,"ELCHO CREEK",22000,0.0601028825358313,23406.8171837315,21000,0.108504874849218,"O","93","ELCHO CREEK O",0
"3672",2010,8,"ELCHO CREEK",1950,0.00398432630640037,1957.80051609898,1800,0.0840349925547346,"E","94","ELCHO CREEK E",0
"4236",1962,8,"FRENCHMAN CREEK",15000,0.67389853140589,45997.9529214268,7500,1.81369387324849,"E","102","FRENCHMAN CREEK E",0
"4237",1963,8,"FRENCHMAN CREEK",3500,0.639655879103005,9712.93770878667,7500,0.258555760677777,"O","101","FRENCHMAN CREEK O",0
"4238",1964,8,"FRENCHMAN CREEK",1500,0.708799368354511,5151.08772781138,15000,-1.06884229944434,"E","102","FRENCHMAN CREEK E",0
"4239",1965,8,"FRENCHMAN CREEK",1500,0.63153373774975,4070.92902031082,3500,0.151108265430296,"O","101","FRENCHMAN CREEK O",0
"4240",1966,8,"FRENCHMAN CREEK",3500,0.599086152714009,8730.05515697062,1500,1.76130657981853,"E","102","FRENCHMAN CREEK E",0
"4241",1967,8,"FRENCHMAN CREEK",750,0.166015689925135,899.297493897306,1500,-0.511606490899717,"O","101","FRENCHMAN CREEK O",0
"4242",1968,8,"FRENCHMAN CREEK",7500,0.628180647192824,20171.0856182612,3500,1.75148720543636,"E","102","FRENCHMAN CREEK E",0
"4244",1970,8,"FRENCHMAN CREEK",3500,0.645270860313015,9866.68307849878,7500,0.27426071547962,"E","102","FRENCHMAN CREEK E",0
"4246",1972,8,"FRENCHMAN CREEK",3500,0.346493220590497,5355.72102735115,3500,0.425402371970901,"E","102","FRENCHMAN CREEK E",0
"4247",1973,8,"FRENCHMAN CREEK",750,0.176884559157014,911.172312879824,1400,-0.42949548927023,"O","101","FRENCHMAN CREEK O",0
"4248",1974,8,"FRENCHMAN CREEK",2000,0.555636591270693,4500.82063624266,3500,0.251496775264165,"E","102","FRENCHMAN CREEK E",0
"4249",1975,8,"FRENCHMAN CREEK",1500,0.286545560785769,2102.44679625518,750,1.03078388000498,"O","101","FRENCHMAN CREEK O",0
"4250",1976,8,"FRENCHMAN CREEK",2000,0.479809726753253,3844.74701442816,2000,0.653560624245538,"E","102","FRENCHMAN CREEK E",0
"4251",1977,8,"FRENCHMAN CREEK",5000,0.127135689265427,5728.26719858917,1500,1.33994796826059,"O","101","FRENCHMAN CREEK O",0
"4252",1978,8,"FRENCHMAN CREEK",500,0.327077709051949,743.027845452365,2000,-0.990168938470897,"E","102","FRENCHMAN CREEK E",0
"4253",1979,8,"FRENCHMAN CREEK",25000,0.287821416480035,35103.5548927022,5000,1.94886449190371,"O","101","FRENCHMAN CREEK O",0
"4254",1980,8,"FRENCHMAN CREEK",2000,0.3349560817946,3007.3201863073,500,1.79419655921274,"E","102","FRENCHMAN CREEK E",0
"4255",1981,8,"FRENCHMAN CREEK",15000,0.596021928035553,37130.7282275463,25000,0.395569056043789,"O","101","FRENCHMAN CREEK O",0
"4256",1982,8,"FRENCHMAN CREEK",500,0.110414737211175,562.059670854387,2000,-1.26929443938717,"E","102","FRENCHMAN CREEK E",0
"4257",1983,8,"FRENCHMAN CREEK",7000,0.267077252927262,9550.80194735079,15000,-0.451425076590567,"O","101","FRENCHMAN CREEK O",0
"4258",1984,8,"FRENCHMAN CREEK",3500,0.104388584559714,3907.94482926436,500,2.05615879725709,"E","102","FRENCHMAN CREEK E",0
"4259",1985,8,"FRENCHMAN CREEK",30000,0.222417128159443,38581.096737624,7000,1.70685228563936,"O","101","FRENCHMAN CREEK O",0
"4260",1986,8,"FRENCHMAN CREEK",20000,0.407663991309245,33764.6195851003,3500,2.26665052792274,"E","102","FRENCHMAN CREEK E",0
"4261",1987,8,"FRENCHMAN CREEK",900,0.408814905160303,1522.36585099298,30000,-2.9809317759485,"O","101","FRENCHMAN CREEK O",0
"4262",1988,8,"FRENCHMAN CREEK",13000,0.524452104983154,27336.8889573982,20000,0.31250476038924,"E","102","FRENCHMAN CREEK E",0
